assignment,accepted_original_smd,sufficient_constraints_pass,maximum_smd,in_degree,out_degree,in_strength,out_strength,baseline_hz,strong_out_mass
0,False,False,0.2220267529402385,0.2220267529402385,0.03995097700233766,0.08542602594500068,0.03857407017444172,0.07757632386743428,0.032231521450257546
1,False,False,0.21719347918964899,0.21719347918964899,0.05549498527268314,0.0894864432218096,0.0186684750884336,0.07270263932070074,0.005612844627897631
2,False,False,0.20569324137993886,0.20569324137993886,0.04204941116220154,0.07427728578421199,0.03050479071073925,0.06410192814466034,0.005612844627897631
3,True,False,0.0947260909651206,0.0947260909651206,0.014057298957886438,0.010206190050864284,0.023401871802045383,0.07757632386743428,0.004846493982140523
4,True,False,0.0906746596506918,0.0906746596506918,0.029140701447193683,0.01386401081950429,0.0032789092421042915,0.07270263932070074,0.021936301476634373
5,True,False,0.08071178836064405,0.08071178836064405,0.016103369163388222,6.50208847509768e-06,0.015264280992811522,0.06410192814466034,0.021936301476634373
6,True,False,0.08285480972454011,0.038026799653463665,0.029175710884774213,0.030619768036439083,0.08285480972454011,0.07757632386743428,0.032231521450257546
7,True,False,0.07270263932070074,0.03419768655373137,0.014721275653024828,0.027041609247122234,0.06372956432364292,0.07270263932070074,0.005612844627897631
8,True,False,0.07504982602923371,0.024676214155940252,0.027200223759497093,0.040671773226125744,0.07504982602923371,0.06410192814466034,0.005612844627897631
9,True,False,0.08916155850508023,0.0414537338602472,0.05183541877666133,0.08916155850508023,0.06866180828225385,0.07757632386743428,0.004846493982140523
10,True,False,0.08583860702632355,0.04490361475550757,0.03772204710091874,0.08583860702632355,0.04936402136875658,0.07270263932070074,0.021936301476634373
11,True,False,0.09858248943241436,0.05359185513945287,0.04989945814444069,0.09858248943241436,0.06080295521164893,0.06410192814466034,0.021936301476634373
