condition,root_id,super_class,cell_type,known_nt,model_sign,recruited,baseline_hz,annotation_available
mode,720575940618165019,motor,CB0700,,excitatory,True,117.4,True
mode,720575940630233404,motor,CB0915,,excitatory,False,0.0,True
mode,720575940624983480,,,,excitatory,False,0.0,False
mode,720575940630868793,motor,CB0700,,inhibitory,True,115.2,True
mode,720575940645521262,,,,excitatory,True,61.0,False
mode,720575940660219265,motor,CB0701,,excitatory,True,84.8,True
mode,720575940645527918,motor,CB0914,,excitatory,False,0.0,True
mode,720575940623352063,motor,CB0911,,excitatory,True,80.0,True
mode,720575940633185567,motor,CB0762,,excitatory,True,64.6,True
mode,720575940621586854,motor,CB0762,,excitatory,True,68.0,True
mode,720575940629564688,central,CB0786,,inhibitory,False,0.0,True
mode,720575940624983591,,,,inhibitory,False,0.0,False
mode,720575940626085306,,,,excitatory,False,0.0,False
mode,720575940620673985,central,CB0821,,inhibitory,True,47.0,True
mode,720575940621399899,central,CB0821,,inhibitory,True,48.6,True
mode,720575940630232380,central,CB0774,,inhibitory,False,0.0,True
mode,720575940615671106,descending,DNge059,,excitatory,True,82.8,True
mode,720575940620156209,central,CB0862,,inhibitory,False,0.0,True
mode,720575940619877396,descending,DNge059,,excitatory,True,78.8,True
mode,720575940611167842,central,CB0862,,inhibitory,False,0.0,True
mode,720575940619016059,central,CB0774,,inhibitory,False,0.0,True
mode,720575940632486969,descending,DNge036,,excitatory,False,0.0,True
mode,720575940620301588,,,,inhibitory,False,0.0,False
mode,720575940612888178,motor,CB0911,,excitatory,True,35.0,True
mode,720575940623164685,descending,DNge003,,excitatory,False,0.0,True
mode,720575940630781433,,,,excitatory,True,5.0,False
mode,720575940628997123,motor,CB0762,,inhibitory,True,17.4,True
mode,720575940643867296,central,CB4058,,inhibitory,True,58.0,True
mode,720575940623211725,central,CB0553,,excitatory,True,64.6,True
mode,720575940627107721,descending,DNge036,,excitatory,False,0.0,True
mode,720575940607272649,central,CB0553,,excitatory,True,59.8,True
mode,720575940632252743,central,CB0493,,excitatory,True,60.2,True
mode,720575940622195625,descending,DNge003,,excitatory,False,0.0,True
mode,720575940621261296,central,CB0493,,excitatory,True,33.0,True
mode,720575940612208858,central,CB0792,,inhibitory,True,10.2,True
mode,720575940621833281,central,CB0792,,inhibitory,False,0.0,True
mode,720575940630865724,motor,CB0871,,excitatory,True,64.2,True
mode,720575940631918649,central,CB0055,,inhibitory,True,74.4,True
mode,720575940609423299,central,CB0819,,inhibitory,False,0.0,True
mode,720575940631994728,central,CB0721,,inhibitory,True,10.4,True
mode,720575940612336819,,,,excitatory,False,0.0,False
mode,720575940616194610,central,CB0819,,inhibitory,False,0.0,True
mode,720575940620274085,central,CB0055,,inhibitory,True,84.6,True
mode,720575940627410451,motor,CB0858,,excitatory,True,30.2,True
mode,720575940615041430,,,,inhibitory,True,114.6,False
mode,720575940628826128,motor,CB0858,,inhibitory,True,38.0,True
mode,720575940633772257,central,CB0754,,inhibitory,False,0.0,True
mode,720575940635611316,,,,inhibitory,True,1.8,False
mode,720575940612443890,central,CB0903,,inhibitory,False,0.0,True
mode,720575940633796252,central,CB0600,,inhibitory,False,0.0,True
mode,720575940619114048,central,CB0824,,excitatory,True,25.8,True
motor_003,720575940604569824,central,AVLP082,,inhibitory,False,0.0,True
motor_003,720575940604999614,central,CB3708,,excitatory,False,0.0,True
motor_003,720575940606667868,,,,inhibitory,False,0.0,False
motor_003,720575940607193986,motor,CB0845,,excitatory,True,38.8,True
motor_003,720575940609488942,descending,DNa15,,excitatory,False,0.0,True
motor_003,720575940611548878,central,CB0801,,inhibitory,True,48.6,True
motor_003,720575940612036837,descending,DNg96,,inhibitory,True,35.6,True
motor_003,720575940612423922,central,CB0889,,inhibitory,True,62.4,True
motor_003,720575940614386070,motor,CB0845,,excitatory,True,0.2,True
motor_003,720575940614435178,central,PVLP025,,inhibitory,False,0.0,True
motor_003,720575940614607825,,,,inhibitory,False,0.0,False
motor_003,720575940616211013,central,CB3491,gaba,inhibitory,False,0.0,True
motor_003,720575940618366843,central,AVLP082,,inhibitory,False,0.0,True
motor_003,720575940618519710,motor,CB0804,,excitatory,False,0.0,True
motor_003,720575940619048827,,,,excitatory,True,71.4,False
motor_003,720575940620025620,motor,MN10,,excitatory,True,32.8,True
motor_003,720575940620298772,descending,DNge035,,excitatory,False,0.0,True
motor_003,720575940621280688,,,,inhibitory,False,0.0,False
motor_003,720575940622810153,motor,MN10,,excitatory,True,48.8,True
motor_003,720575940625045180,central,CB0910,,excitatory,True,83.8,True
motor_003,720575940625612474,motor,CB0845,,excitatory,True,0.4,True
motor_003,720575940625874992,central,CB0910,,excitatory,True,71.6,True
motor_003,720575940628998659,motor,CB0789,,excitatory,True,16.6,True
motor_003,720575940629041879,descending,DNb06,,excitatory,False,0.0,True
motor_003,720575940629174889,,,,inhibitory,False,0.0,False
motor_003,720575940629561347,motor,CB0845,,excitatory,True,23.6,True
motor_003,720575940629778554,motor,MNx01,,inhibitory,True,107.0,True
motor_003,720575940629810748,motor,CB0871,,inhibitory,True,56.8,True
motor_003,720575940629888530,central,CB0192,,excitatory,True,126.0,True
motor_003,720575940630683385,central,CB0801,,inhibitory,True,56.6,True
motor_003,720575940631122937,,,,inhibitory,False,0.0,False
motor_003,720575940631406411,central,CB0781,,inhibitory,True,36.6,True
motor_003,720575940632047890,central,CB0393,,excitatory,True,77.8,True
motor_003,720575940632281927,motor,CB0904,,excitatory,False,0.0,True
motor_003,720575940632304711,motor,MNx01,,inhibitory,True,27.2,True
motor_003,720575940632722636,,,,inhibitory,False,0.0,False
motor_003,720575940634138775,,,,inhibitory,False,0.0,False
motor_003,720575940634301852,central,CB0781,,inhibitory,True,25.2,True
motor_003,720575940636000631,,,,excitatory,False,0.0,False
motor_003,720575940636053678,central,CB0419,,inhibitory,True,65.6,True
motor_003,720575940636165624,motor,CB0708,,excitatory,True,27.2,True
motor_003,720575940636922999,central,PVLP025,,inhibitory,False,0.0,True
motor_003,720575940637303182,,,,excitatory,False,0.0,False
motor_003,720575940638181092,,,,excitatory,True,67.8,False
motor_003,720575940639198397,central,CB0072,,inhibitory,True,19.8,True
motor_003,720575940641480949,descending,DNg16,,excitatory,True,15.6,True
motor_003,720575940660229505,descending,DNg31,,inhibitory,True,39.0,True
motor_003,720575940627712019,,,,inhibitory,False,0.0,False
motor_003,720575940631759663,descending,DNa15,,excitatory,False,0.0,True
motor_003,720575940639425112,descending,DNge007,,excitatory,True,32.0,True
motor_003,720575940645047831,descending,DNg16,,excitatory,True,13.2,True
motor_004,720575940604569824,central,AVLP082,,inhibitory,False,0.0,True
motor_004,720575940604999614,central,CB3708,,excitatory,False,0.0,True
motor_004,720575940606667868,,,,inhibitory,False,0.0,False
motor_004,720575940607193986,motor,CB0845,,excitatory,True,38.8,True
motor_004,720575940609488942,descending,DNa15,,excitatory,False,0.0,True
motor_004,720575940611548878,central,CB0801,,inhibitory,True,48.6,True
motor_004,720575940612036837,descending,DNg96,,inhibitory,True,35.6,True
motor_004,720575940612423922,central,CB0889,,inhibitory,True,62.4,True
motor_004,720575940614386070,motor,CB0845,,excitatory,True,0.2,True
motor_004,720575940614435178,central,PVLP025,,inhibitory,False,0.0,True
motor_004,720575940614607825,,,,inhibitory,False,0.0,False
motor_004,720575940616211013,central,CB3491,gaba,inhibitory,False,0.0,True
motor_004,720575940618366843,central,AVLP082,,inhibitory,False,0.0,True
motor_004,720575940618519710,motor,CB0804,,excitatory,False,0.0,True
motor_004,720575940619048827,,,,excitatory,True,71.4,False
motor_004,720575940620025620,motor,MN10,,excitatory,True,32.8,True
motor_004,720575940620298772,descending,DNge035,,excitatory,False,0.0,True
motor_004,720575940621280688,,,,inhibitory,False,0.0,False
motor_004,720575940622810153,motor,MN10,,excitatory,True,48.8,True
motor_004,720575940625045180,central,CB0910,,excitatory,True,83.8,True
motor_004,720575940625612474,motor,CB0845,,excitatory,True,0.4,True
motor_004,720575940625874992,central,CB0910,,excitatory,True,71.6,True
motor_004,720575940628998659,motor,CB0789,,excitatory,True,16.6,True
motor_004,720575940629041879,descending,DNb06,,excitatory,False,0.0,True
motor_004,720575940629174889,,,,inhibitory,False,0.0,False
motor_004,720575940629561347,motor,CB0845,,excitatory,True,23.6,True
motor_004,720575940629778554,motor,MNx01,,inhibitory,True,107.0,True
