condition,field,value,target_count,sample_count
mode,super_class,central,23,23
mode,super_class,descending,6,6
mode,super_class,motor,13,13
mode,super_class,unavailable,9,9
mode,cell_type,CB0055,2,2
mode,cell_type,CB0493,2,2
mode,cell_type,CB0553,2,2
mode,cell_type,CB0600,1,1
mode,cell_type,CB0700,2,2
mode,cell_type,CB0701,1,1
mode,cell_type,CB0721,1,1
mode,cell_type,CB0754,1,1
mode,cell_type,CB0762,3,3
mode,cell_type,CB0774,2,2
mode,cell_type,CB0786,1,1
mode,cell_type,CB0792,2,2
mode,cell_type,CB0819,2,2
mode,cell_type,CB0821,2,2
mode,cell_type,CB0824,1,1
mode,cell_type,CB0858,2,2
mode,cell_type,CB0862,2,2
mode,cell_type,CB0871,1,1
mode,cell_type,CB0903,1,1
mode,cell_type,CB0911,2,2
mode,cell_type,CB0914,1,1
mode,cell_type,CB0915,1,1
mode,cell_type,CB4058,1,1
mode,cell_type,DNge003,2,2
mode,cell_type,DNge036,2,2
mode,cell_type,DNge059,2,2
mode,cell_type,unavailable,9,9
mode,top_nt,acetylcholine,22,22
mode,top_nt,gaba,14,14
mode,top_nt,glutamate,6,6
mode,top_nt,unavailable,9,9
mode,known_nt,unavailable,51,51
mode,annotation_available,False,9,9
mode,annotation_available,True,42,42
mode,model_sign,excitatory,26,26
mode,model_sign,inhibitory,25,25
mode,recruited,False,22,22
mode,recruited,True,29,29
motor_003,super_class,central,23,17
motor_003,super_class,descending,6,9
motor_003,super_class,motor,13,13
motor_003,super_class,unavailable,9,12
motor_003,cell_type,AVLP082,0,2
motor_003,cell_type,CB0055,2,0
motor_003,cell_type,CB0072,0,1
motor_003,cell_type,CB0192,0,1
motor_003,cell_type,CB0393,0,1
motor_003,cell_type,CB0419,0,1
motor_003,cell_type,CB0493,2,0
motor_003,cell_type,CB0553,2,0
motor_003,cell_type,CB0600,1,0
motor_003,cell_type,CB0700,2,0
motor_003,cell_type,CB0701,1,0
motor_003,cell_type,CB0708,0,1
motor_003,cell_type,CB0721,1,0
motor_003,cell_type,CB0754,1,0
motor_003,cell_type,CB0762,3,0
motor_003,cell_type,CB0774,2,0
motor_003,cell_type,CB0781,0,2
motor_003,cell_type,CB0786,1,0
motor_003,cell_type,CB0789,0,1
motor_003,cell_type,CB0792,2,0
motor_003,cell_type,CB0801,0,2
motor_003,cell_type,CB0804,0,1
motor_003,cell_type,CB0819,2,0
motor_003,cell_type,CB0821,2,0
motor_003,cell_type,CB0824,1,0
motor_003,cell_type,CB0845,0,4
motor_003,cell_type,CB0858,2,0
motor_003,cell_type,CB0862,2,0
motor_003,cell_type,CB0871,1,1
motor_003,cell_type,CB0889,0,1
motor_003,cell_type,CB0903,1,0
motor_003,cell_type,CB0904,0,1
motor_003,cell_type,CB0910,0,2
motor_003,cell_type,CB0911,2,0
motor_003,cell_type,CB0914,1,0
motor_003,cell_type,CB0915,1,0
motor_003,cell_type,CB3491,0,1
motor_003,cell_type,CB3708,0,1
motor_003,cell_type,CB4058,1,0
motor_003,cell_type,DNa15,0,2
motor_003,cell_type,DNb06,0,1
motor_003,cell_type,DNg16,0,2
motor_003,cell_type,DNg31,0,1
motor_003,cell_type,DNg96,0,1
motor_003,cell_type,DNge003,2,0
motor_003,cell_type,DNge007,0,1
motor_003,cell_type,DNge035,0,1
motor_003,cell_type,DNge036,2,0
motor_003,cell_type,DNge059,2,0
motor_003,cell_type,MN10,0,2
motor_003,cell_type,MNx01,0,2
motor_003,cell_type,PVLP025,0,2
motor_003,cell_type,unavailable,9,12
motor_003,top_nt,acetylcholine,22,22
motor_003,top_nt,gaba,14,13
motor_003,top_nt,glutamate,6,4
motor_003,top_nt,unavailable,9,12
motor_003,known_nt,gaba,0,1
motor_003,known_nt,unavailable,51,50
motor_003,annotation_available,False,9,12
motor_003,annotation_available,True,42,39
motor_003,model_sign,excitatory,26,26
motor_003,model_sign,inhibitory,25,25
motor_003,recruited,False,22,22
motor_003,recruited,True,29,29
motor_004,super_class,central,23,17
motor_004,super_class,descending,6,9
motor_004,super_class,motor,13,13
motor_004,super_class,unavailable,9,12
motor_004,cell_type,AVLP082,0,2
motor_004,cell_type,CB0055,2,0
motor_004,cell_type,CB0072,0,1
motor_004,cell_type,CB0192,0,1
motor_004,cell_type,CB0393,0,1
motor_004,cell_type,CB0419,0,1
motor_004,cell_type,CB0493,2,0
motor_004,cell_type,CB0553,2,0
motor_004,cell_type,CB0600,1,0
motor_004,cell_type,CB0700,2,0
motor_004,cell_type,CB0701,1,0
motor_004,cell_type,CB0708,0,1
motor_004,cell_type,CB0721,1,0
motor_004,cell_type,CB0754,1,0
motor_004,cell_type,CB0762,3,0
motor_004,cell_type,CB0774,2,0
motor_004,cell_type,CB0781,0,2
motor_004,cell_type,CB0786,1,0
motor_004,cell_type,CB0789,0,1
motor_004,cell_type,CB0792,2,0
motor_004,cell_type,CB0801,0,2
motor_004,cell_type,CB0804,0,1
motor_004,cell_type,CB0819,2,0
motor_004,cell_type,CB0821,2,0
motor_004,cell_type,CB0824,1,0
motor_004,cell_type,CB0845,0,4
motor_004,cell_type,CB0858,2,0
motor_004,cell_type,CB0862,2,0
motor_004,cell_type,CB0871,1,1
motor_004,cell_type,CB0889,0,1
motor_004,cell_type,CB0903,1,0
motor_004,cell_type,CB0904,0,1
motor_004,cell_type,CB0910,0,2
motor_004,cell_type,CB0911,2,0
motor_004,cell_type,CB0914,1,0
motor_004,cell_type,CB0915,1,0
motor_004,cell_type,CB3491,0,1
motor_004,cell_type,CB3708,0,1
motor_004,cell_type,CB4058,1,0
motor_004,cell_type,DNa15,0,2
motor_004,cell_type,DNb06,0,1
motor_004,cell_type,DNg16,0,2
motor_004,cell_type,DNg31,0,1
motor_004,cell_type,DNg96,0,1
motor_004,cell_type,DNge003,2,0
motor_004,cell_type,DNge035,0,1
motor_004,cell_type,DNge036,2,0
motor_004,cell_type,DNge042,0,1
motor_004,cell_type,DNge059,2,0
motor_004,cell_type,MN10,0,2
motor_004,cell_type,MNx01,0,2
motor_004,cell_type,PVLP025,0,2
motor_004,cell_type,unavailable,9,12
motor_004,top_nt,acetylcholine,22,22
motor_004,top_nt,gaba,14,13
motor_004,top_nt,glutamate,6,4
motor_004,top_nt,unavailable,9,12
motor_004,known_nt,gaba,0,1
motor_004,known_nt,unavailable,51,50
motor_004,annotation_available,False,9,12
motor_004,annotation_available,True,42,39
motor_004,model_sign,excitatory,26,26
motor_004,model_sign,inhibitory,25,25
motor_004,recruited,False,22,22
motor_004,recruited,True,29,29
motor_005,super_class,central,23,17
motor_005,super_class,descending,6,9
motor_005,super_class,motor,13,13
motor_005,super_class,unavailable,9,12
motor_005,cell_type,AVLP082,0,2
motor_005,cell_type,CB0055,2,0
motor_005,cell_type,CB0072,0,1
motor_005,cell_type,CB0192,0,1
motor_005,cell_type,CB0393,0,1
motor_005,cell_type,CB0419,0,1
motor_005,cell_type,CB0493,2,0
motor_005,cell_type,CB0553,2,0
motor_005,cell_type,CB0600,1,0
motor_005,cell_type,CB0700,2,0
motor_005,cell_type,CB0701,1,0
motor_005,cell_type,CB0708,0,1
motor_005,cell_type,CB0721,1,0
motor_005,cell_type,CB0754,1,0
motor_005,cell_type,CB0762,3,0
motor_005,cell_type,CB0774,2,0
motor_005,cell_type,CB0781,0,2
motor_005,cell_type,CB0786,1,0
motor_005,cell_type,CB0789,0,1
motor_005,cell_type,CB0792,2,0
motor_005,cell_type,CB0801,0,2
motor_005,cell_type,CB0804,0,1
motor_005,cell_type,CB0819,2,0
motor_005,cell_type,CB0821,2,0
motor_005,cell_type,CB0824,1,0
motor_005,cell_type,CB0845,0,4
motor_005,cell_type,CB0858,2,0
motor_005,cell_type,CB0862,2,0
motor_005,cell_type,CB0871,1,1
motor_005,cell_type,CB0889,0,1
motor_005,cell_type,CB0903,1,0
motor_005,cell_type,CB0904,0,1
motor_005,cell_type,CB0910,0,2
motor_005,cell_type,CB0911,2,0
motor_005,cell_type,CB0914,1,0
motor_005,cell_type,CB0915,1,0
motor_005,cell_type,CB3491,0,1
motor_005,cell_type,CB3708,0,1
motor_005,cell_type,CB4058,1,0
motor_005,cell_type,DNa15,0,2
motor_005,cell_type,DNb06,0,1
motor_005,cell_type,DNg16,0,1
motor_005,cell_type,DNg31,0,1
motor_005,cell_type,DNg96,0,1
motor_005,cell_type,DNge003,2,0
motor_005,cell_type,DNge007,0,1
motor_005,cell_type,DNge035,0,1
motor_005,cell_type,DNge036,2,0
motor_005,cell_type,DNge042,0,1
motor_005,cell_type,DNge059,2,0
motor_005,cell_type,MN10,0,2
motor_005,cell_type,MNx01,0,2
motor_005,cell_type,PVLP025,0,2
motor_005,cell_type,unavailable,9,12
motor_005,top_nt,acetylcholine,22,22
motor_005,top_nt,gaba,14,13
motor_005,top_nt,glutamate,6,4
motor_005,top_nt,unavailable,9,12
motor_005,known_nt,gaba,0,1
motor_005,known_nt,unavailable,51,50
motor_005,annotation_available,False,9,12
motor_005,annotation_available,True,42,39
motor_005,model_sign,excitatory,26,26
motor_005,model_sign,inhibitory,25,25
motor_005,recruited,False,22,22
motor_005,recruited,True,29,29
motor_006,super_class,central,23,17
motor_006,super_class,descending,6,8
