condition,field,total_variation
mode,super_class,0.0
mode,cell_type,0.0
mode,top_nt,0.0
mode,known_nt,0.0
mode,annotation_available,0.0
mode,model_sign,0.0
mode,recruited,0.0
motor_003,super_class,0.11764705882352942
motor_003,cell_type,0.803921568627451
motor_003,top_nt,0.05882352941176472
motor_003,known_nt,0.019607843137254923
motor_003,annotation_available,0.058823529411764705
motor_003,model_sign,0.0
motor_003,recruited,0.0
motor_004,super_class,0.11764705882352942
motor_004,cell_type,0.803921568627451
motor_004,top_nt,0.05882352941176472
motor_004,known_nt,0.019607843137254923
motor_004,annotation_available,0.058823529411764705
motor_004,model_sign,0.0
motor_004,recruited,0.0
motor_005,super_class,0.11764705882352942
motor_005,cell_type,0.8039215686274509
motor_005,top_nt,0.05882352941176472
motor_005,known_nt,0.019607843137254923
motor_005,annotation_available,0.058823529411764705
motor_005,model_sign,0.0
motor_005,recruited,0.0
motor_006,super_class,0.11764705882352941
motor_006,cell_type,0.8039215686274509
motor_006,top_nt,0.07843137254901963
motor_006,known_nt,0.019607843137254923
motor_006,annotation_available,0.07843137254901957
motor_006,model_sign,0.0
motor_006,recruited,0.0
motor_007,super_class,0.11764705882352941
motor_007,cell_type,0.8039215686274509
motor_007,top_nt,0.07843137254901963
motor_007,known_nt,0.019607843137254923
motor_007,annotation_available,0.07843137254901957
motor_007,model_sign,0.0
motor_007,recruited,0.0
motor_008,super_class,0.11764705882352941
motor_008,cell_type,0.8039215686274508
motor_008,top_nt,0.07843137254901963
motor_008,known_nt,0.019607843137254923
motor_008,annotation_available,0.07843137254901957
motor_008,model_sign,0.0
motor_008,recruited,0.0
motor_009,super_class,0.11764705882352941
motor_009,cell_type,0.8039215686274509
motor_009,top_nt,0.07843137254901963
motor_009,known_nt,0.019607843137254923
motor_009,annotation_available,0.07843137254901957
motor_009,model_sign,0.0
motor_009,recruited,0.0
motor_010,super_class,0.11764705882352941
motor_010,cell_type,0.8039215686274509
motor_010,top_nt,0.07843137254901963
motor_010,known_nt,0.019607843137254923
motor_010,annotation_available,0.07843137254901957
motor_010,model_sign,0.0
motor_010,recruited,0.0
motor_011,super_class,0.11764705882352941
motor_011,cell_type,0.8039215686274508
motor_011,top_nt,0.07843137254901963
motor_011,known_nt,0.019607843137254923
motor_011,annotation_available,0.07843137254901957
motor_011,model_sign,0.0
motor_011,recruited,0.0
