condition,feature,smd,ecdf_gap,variance_ratio,target_q0,target_q25,target_q50,target_q75,target_q100,sample_q0,sample_q25,sample_q50,sample_q75,sample_q100
mode,in_degree,0.0,0.0,1.0,4.882801922586371,5.37989735354046,5.501258210544727,5.632987891512191,6.184148890937483,4.882801922586371,5.37989735354046,5.501258210544727,5.632987891512191,6.184148890937483
mode,out_degree,0.0,0.0,1.0,2.8903717578961645,4.330733340286331,5.062595033026967,5.404722540135246,5.950642552587727,2.8903717578961645,4.330733340286331,5.062595033026967,5.404722540135246,5.950642552587727
mode,in_strength,0.0,0.0,1.0,7.176254532017144,7.983609403139911,8.27614021955846,8.637691024332147,9.27199975236291,7.176254532017144,7.983609403139911,8.27614021955846,8.637691024332147,9.27199975236291
mode,out_strength,0.0,0.0,1.0,2.8903717578961645,4.778982240197249,7.670428522190693,8.038634015711121,8.690305809124883,2.8903717578961645,4.778982240197249,7.670428522190693,8.038634015711121,8.690305809124883
mode,baseline_hz,0.0,0.0,1.0,0.0,0.0,2.4336133554004498,4.15229692698885,4.774068722449905,0.0,0.0,2.4336133554004498,4.15229692698885,4.774068722449905
mode,strong_out_mass,0.0,0.0,1.0,0.0,0.0,5.2574953720277815,6.5387248449904085,8.188966863648876,0.0,0.0,5.2574953720277815,6.5387248449904085,8.188966863648876
motor_003,in_degree,0.09472609096511925,0.27450980392156865,13.094382085145384,4.882801922586371,5.37989735354046,5.501258210544727,5.632987891512191,6.184148890937483,1.791759469228055,5.087577282895612,5.402677381872279,5.838880853711581,8.073402968986406
motor_003,out_degree,0.014057298957887224,0.23529411764705888,4.185372295156002,2.8903717578961645,4.330733340286331,5.062595033026967,5.404722540135246,5.950642552587727,1.791759469228055,3.8501476017100584,4.787491742782046,5.444577541094052,8.045908742270779
motor_003,in_strength,0.01020619005086643,0.21568627450980393,4.9111871709896695,7.176254532017144,7.983609403139911,8.27614021955846,8.637691024332147,9.27199975236291,4.672828834461906,7.70203807559287,8.165647925297504,8.840994090609712,11.129393066861613
motor_003,out_strength,0.023401871802044498,0.17647058823529416,1.839208264580415,2.8903717578961645,4.778982240197249,7.670428522190693,8.038634015711121,8.690305809124883,2.3978952727983707,4.8481086751891045,7.200424892944957,7.9869805211987694,11.002099841204238
motor_003,baseline_hz,0.07757632386743428,0.1568627450980392,0.9230016193895515,0.0,0.0,2.4336133554004498,4.15229692698885,4.774068722449905,0.0,0.0,2.8094026953624978,3.796435143922409,4.844187086458591
motor_003,strong_out_mass,0.004846493982140651,0.15686274509803927,1.2872996610291767,0.0,0.0,5.2574953720277815,6.5387248449904085,8.188966863648876,0.0,0.0,1.6094379124341003,6.879544171825588,10.880440552576909
motor_004,in_degree,0.09067465965068912,0.27450980392156865,13.081409638706193,4.882801922586371,5.37989735354046,5.501258210544727,5.632987891512191,6.184148890937483,1.791759469228055,5.087577282895612,5.402677381872279,5.838880853711581,8.073402968986406
motor_004,out_degree,0.029140701447194467,0.23529411764705888,4.172551808591269,2.8903717578961645,4.330733340286331,5.062595033026967,5.404722540135246,5.950642552587727,1.791759469228055,3.8501476017100584,4.787491742782046,5.444577541094052,8.045908742270779
motor_004,in_strength,0.013864010819506436,0.21568627450980393,4.910467478481982,7.176254532017144,7.983609403139911,8.27614021955846,8.637691024332147,9.27199975236291,4.672828834461906,7.70203807559287,8.165647925297504,8.840994090609712,11.129393066861613
motor_004,out_strength,0.003278909242102956,0.17647058823529416,1.8330764924987488,2.8903717578961645,4.778982240197249,7.670428522190693,8.038634015711121,8.690305809124883,2.3978952727983707,4.8481086751891045,7.237059026124737,7.9869805211987694,11.002099841204238
motor_004,baseline_hz,0.07270263932070073,0.1568627450980392,0.9310318090198704,0.0,0.0,2.4336133554004498,4.15229692698885,4.774068722449905,0.0,0.0,2.8094026953624978,3.906002908880745,4.844187086458591
motor_004,strong_out_mass,0.02193630147663437,0.1568627450980392,1.2781552106503815,0.0,0.0,5.2574953720277815,6.5387248449904085,8.188966863648876,0.0,0.0,1.791759469228055,6.879544171825588,10.880440552576909
motor_005,in_degree,0.08071178836064272,0.27450980392156865,12.995603251879905,4.882801922586371,5.37989735354046,5.501258210544727,5.632987891512191,6.184148890937483,1.791759469228055,5.087577282895612,5.402677381872279,5.8050941412952195,8.073402968986406
motor_005,out_degree,0.01610336916338901,0.23529411764705888,4.18721722508522,2.8903717578961645,4.330733340286331,5.062595033026967,5.404722540135246,5.950642552587727,1.791759469228055,3.8501476017100584,4.787491742782046,5.444577541094052,8.045908742270779
motor_005,in_strength,6.502088477247703e-06,0.21568627450980393,4.891472738033058,7.176254532017144,7.983609403139911,8.27614021955846,8.637691024332147,9.27199975236291,4.672828834461906,7.70203807559287,8.165647925297504,8.840994090609712,11.129393066861613
motor_005,out_strength,0.01526428099281019,0.17647058823529416,1.8439311871256931,2.8903717578961645,4.778982240197249,7.670428522190693,8.038634015711121,8.690305809124883,2.3978952727983707,4.8481086751891045,7.237059026124737,7.9869805211987694,11.002099841204238
motor_005,baseline_hz,0.06410192814466033,0.1568627450980392,0.9398503875686105,0.0,0.0,2.4336133554004498,4.15229692698885,4.774068722449905,0.0,0.0,2.8678989020441064,3.906002908880745,4.844187086458591
motor_005,strong_out_mass,0.02193630147663437,0.1568627450980392,1.2781552106503815,0.0,0.0,5.2574953720277815,6.5387248449904085,8.188966863648876,0.0,0.0,1.791759469228055,6.879544171825588,10.880440552576909
motor_006,in_degree,0.038026799653459904,0.29411764705882354,14.961136322333003,4.882801922586371,5.37989735354046,5.501258210544727,5.632987891512191,6.184148890937483,1.0986122886681098,5.075154283602347,5.3981627015177525,5.8050941412952195,8.073402968986406
motor_006,out_degree,0.029175710884773456,0.23529411764705888,4.609968660321227,2.8903717578961645,4.330733340286331,5.062595033026967,5.404722540135246,5.950642552587727,0.6931471805599453,3.828405045740189,4.787491742782046,5.444577541094052,8.045908742270779
motor_006,in_strength,0.030619768036439083,0.23529411764705882,5.175814322895964,7.176254532017144,7.983609403139911,8.27614021955846,8.637691024332147,9.27199975236291,4.290459441148391,7.66091272484037,8.060224240440958,8.794128667519551,11.129393066861613
motor_006,out_strength,0.08285480972453926,0.19607843137254904,2.1359559924801013,2.8903717578961645,4.778982240197249,7.670428522190693,8.038634015711121,8.690305809124883,0.6931471805599453,4.294849941101493,7.200424892944957,7.9869805211987694,11.002099841204238
motor_006,baseline_hz,0.07757632386743428,0.1568627450980392,0.9230016193895515,0.0,0.0,2.4336133554004498,4.15229692698885,4.774068722449905,0.0,0.0,2.8094026953624978,3.796435143922409,4.844187086458591
motor_006,strong_out_mass,0.03223152145025767,0.1764705882352941,1.306432925379556,0.0,0.0,5.2574953720277815,6.5387248449904085,8.188966863648876,0.0,0.0,1.6094379124341003,6.879544171825588,10.880440552576909
motor_007,in_degree,0.03419768655372886,0.29411764705882354,14.94503361873567,4.882801922586371,5.37989735354046,5.501258210544727,5.632987891512191,6.184148890937483,1.0986122886681098,5.075154283602347,5.3981627015177525,5.8050941412952195,8.073402968986406
motor_007,out_degree,0.01472127565302407,0.23529411764705888,4.600612847726973,2.8903717578961645,4.330733340286331,5.062595033026967,5.404722540135246,5.950642552587727,0.6931471805599453,3.828405045740189,4.787491742782046,5.444577541094052,8.045908742270779
motor_007,in_strength,0.027041609247122234,0.23529411764705882,5.175991821861071,7.176254532017144,7.983609403139911,8.27614021955846,8.637691024332147,9.27199975236291,4.290459441148391,7.66091272484037,8.060224240440958,8.794128667519551,11.129393066861613
motor_007,out_strength,0.06372956432364166,0.19607843137254904,2.133462836996483,2.8903717578961645,4.778982240197249,7.670428522190693,8.038634015711121,8.690305809124883,0.6931471805599453,4.294849941101493,7.237059026124737,7.9869805211987694,11.002099841204238
motor_007,baseline_hz,0.07270263932070073,0.1568627450980392,0.9310318090198704,0.0,0.0,2.4336133554004498,4.15229692698885,4.774068722449905,0.0,0.0,2.8094026953624978,3.906002908880745,4.844187086458591
motor_007,strong_out_mass,0.005612844627897759,0.1568627450980392,1.2989715677096354,0.0,0.0,5.2574953720277815,6.5387248449904085,8.188966863648876,0.0,0.0,1.6094379124341003,6.879544171825588,10.880440552576909
motor_008,in_degree,0.024676214155936474,0.29411764705882354,14.851423356262618,4.882801922586371,5.37989735354046,5.501258210544727,5.632987891512191,6.184148890937483,1.0986122886681098,5.075154283602347,5.3981627015177525,5.788400633278851,8.073402968986406
motor_008,out_degree,0.02720022375949633,0.23529411764705888,4.612285360223533,2.8903717578961645,4.330733340286331,5.062595033026967,5.404722540135246,5.950642552587727,0.6931471805599453,3.828405045740189,4.787491742782046,5.444577541094052,8.045908742270779
motor_008,in_strength,0.040671773226125744,0.23529411764705882,5.1535975270889995,7.176254532017144,7.983609403139911,8.27614021955846,8.637691024332147,9.27199975236291,4.290459441148391,7.66091272484037,8.060224240440958,8.68046012712161,11.129393066861613
motor_008,out_strength,0.07504982602923246,0.19607843137254904,2.1421477938398983,2.8903717578961645,4.778982240197249,7.670428522190693,8.038634015711121,8.690305809124883,0.6931471805599453,4.294849941101493,7.237059026124737,7.9869805211987694,11.002099841204238
motor_008,baseline_hz,0.06410192814466033,0.1568627450980392,0.9398503875686105,0.0,0.0,2.4336133554004498,4.15229692698885,4.774068722449905,0.0,0.0,2.8678989020441064,3.906002908880745,4.844187086458591
motor_008,strong_out_mass,0.005612844627897759,0.1568627450980392,1.2989715677096354,0.0,0.0,5.2574953720277815,6.5387248449904085,8.188966863648876,0.0,0.0,1.6094379124341003,6.879544171825588,10.880440552576909
motor_009,in_degree,0.04145373386025056,0.29411764705882354,19.116997858224728,4.882801922586371,5.37989735354046,5.501258210544727,5.632987891512191,6.184148890937483,1.0986122886681098,5.075154283602347,5.3981627015177525,5.8050941412952195,8.073402968986406
motor_009,out_degree,0.05183541877666058,0.23529411764705888,4.87453701971972,2.8903717578961645,4.330733340286331,5.062595033026967,5.404722540135246,5.950642552587727,0.6931471805599453,3.828405045740189,4.787491742782046,5.444577541094052,8.045908742270779
motor_009,in_strength,0.08916155850508023,0.23529411764705882,6.201307739551886,7.176254532017144,7.983609403139911,8.27614021955846,8.637691024332147,9.27199975236291,4.290459441148391,7.66091272484037,8.060224240440958,8.794128667519551,11.129393066861613
motor_009,out_strength,0.06866180828225257,0.17647058823529416,2.079634900399822,2.8903717578961645,4.778982240197249,7.670428522190693,8.038634015711121,8.690305809124883,0.6931471805599453,4.637501942650952,7.200424892944957,7.9869805211987694,11.002099841204238
motor_009,baseline_hz,0.07757632386743428,0.1568627450980392,0.9230016193895515,0.0,0.0,2.4336133554004498,4.15229692698885,4.774068722449905,0.0,0.0,2.8094026953624978,3.796435143922409,4.844187086458591
motor_009,strong_out_mass,0.0048464939821407805,0.15686274509803927,1.2872996610291767,0.0,0.0,5.2574953720277815,6.5387248449904085,8.188966863648876,0.0,0.0,1.6094379124341003,6.879544171825588,10.880440552576909
motor_010,in_degree,0.044903614755510926,0.29411764705882354,19.095703481366453,4.882801922586371,5.37989735354046,5.501258210544727,5.632987891512191,6.184148890937483,1.0986122886681098,5.075154283602347,5.3981627015177525,5.8050941412952195,8.073402968986406
motor_010,out_degree,0.037722047100918005,0.23529411764705888,4.867118275255944,2.8903717578961645,4.330733340286331,5.062595033026967,5.404722540135246,5.950642552587727,0.6931471805599453,3.828405045740189,4.787491742782046,5.444577541094052,8.045908742270779
motor_010,in_strength,0.08583860702632355,0.23529411764705882,6.202936044336579,7.176254532017144,7.983609403139911,8.27614021955846,8.637691024332147,9.27199975236291,4.290459441148391,7.66091272484037,8.060224240440958,8.794128667519551,11.129393066861613
motor_010,out_strength,0.049364021368755305,0.17647058823529416,2.0762521822590974,2.8903717578961645,4.778982240197249,7.670428522190693,8.038634015711121,8.690305809124883,0.6931471805599453,4.637501942650952,7.237059026124737,7.9869805211987694,11.002099841204238
motor_010,baseline_hz,0.07270263932070073,0.1568627450980392,0.9310318090198704,0.0,0.0,2.4336133554004498,4.15229692698885,4.774068722449905,0.0,0.0,2.8094026953624978,3.906002908880745,4.844187086458591
motor_010,strong_out_mass,0.021936301476634112,0.1568627450980392,1.2781552106503815,0.0,0.0,5.2574953720277815,6.5387248449904085,8.188966863648876,0.0,0.0,1.791759469228055,6.879544171825588,10.880440552576909
motor_011,in_degree,0.053591855139455115,0.29411764705882354,18.989150137708627,4.882801922586371,5.37989735354046,5.501258210544727,5.632987891512191,6.184148890937483,1.0986122886681098,5.075154283602347,5.3981627015177525,5.788400633278851,8.073402968986406
motor_011,out_degree,0.04989945814443994,0.23529411764705888,4.877117481981072,2.8903717578961645,4.330733340286331,5.062595033026967,5.404722540135246,5.950642552587727,0.6931471805599453,3.828405045740189,4.787491742782046,5.444577541094052,8.045908742270779
motor_011,in_strength,0.09858248943241436,0.23529411764705882,6.1750444913475375,7.176254532017144,7.983609403139911,8.27614021955846,8.637691024332147,9.27199975236291,4.290459441148391,7.66091272484037,8.060224240440958,8.68046012712161,11.129393066861613
motor_011,out_strength,0.06080295521164766,0.17647058823529416,2.0854675928219217,2.8903717578961645,4.778982240197249,7.670428522190693,8.038634015711121,8.690305809124883,0.6931471805599453,4.637501942650952,7.237059026124737,7.9869805211987694,11.002099841204238
motor_011,baseline_hz,0.06410192814466033,0.1568627450980392,0.9398503875686105,0.0,0.0,2.4336133554004498,4.15229692698885,4.774068722449905,0.0,0.0,2.8678989020441064,3.906002908880745,4.844187086458591
motor_011,strong_out_mass,0.021936301476634112,0.1568627450980392,1.2781552106503815,0.0,0.0,5.2574953720277815,6.5387248449904085,8.188966863648876,0.0,0.0,1.791759469228055,6.879544171825588,10.880440552576909
