condition,seed,A_single_seed,F_single_seed,MN9_delta_hz,motor_total_delta_hz,baseline_MN9_hz,lesion_MN9_hz
mode,630901,22.254901960784313,0.22311775113033222,-88.0,40.0,89.0,1.0
mode,630902,23.215686274509803,0.23102439024390245,-86.0,25.0,87.0,1.0
mode,630903,21.941176470588236,0.22371051579368254,-78.0,21.0,80.0,2.0
mode,630904,23.03921568627451,0.23235119636147913,-83.0,-44.0,84.0,1.0
mode,630905,22.431372549019606,0.2237871674491393,-76.0,96.0,77.0,1.0
optimized_000,630901,11.823529411764707,0.18350578210590385,-8.0,-408.0,89.0,81.0
optimized_000,630902,11.352941176470589,0.18433619866284623,-12.0,-425.0,87.0,75.0
optimized_000,630903,11.823529411764707,0.1841783750763592,-3.0,-432.0,80.0,77.0
optimized_000,630904,12.92156862745098,0.18285238623751388,-4.0,-405.0,84.0,80.0
optimized_000,630905,10.137254901960784,0.16889905259719046,6.0,-361.0,77.0,83.0
optimized_001,630901,14.176470588235293,0.22096577017114916,-1.0,-423.0,89.0,88.0
optimized_001,630902,12.588235294117647,0.20290771175726927,-9.0,-441.0,87.0,78.0
optimized_001,630903,12.411764705882353,0.1994328922495274,-2.0,-442.0,80.0,78.0
optimized_001,630904,13.882352941176471,0.2185859833281877,1.0,-491.0,84.0,85.0
optimized_001,630905,11.803921568627452,0.19828722002635046,5.0,-407.0,77.0,82.0
optimized_002,630901,17.058823529411764,0.20341360766892683,-15.0,-603.0,89.0,74.0
optimized_002,630902,16.80392156862745,0.18760945709281962,-27.0,-705.0,87.0,60.0
optimized_002,630903,16.372549019607842,0.1825934834900503,-23.0,-728.0,80.0,57.0
optimized_002,630904,17.50980392156863,0.20076438848920863,-23.0,-737.0,84.0,61.0
optimized_002,630905,15.019607843137255,0.18829891838741397,-12.0,-584.0,77.0,65.0
optimized_003,630901,14.705882352941176,0.21745433458973615,-14.0,-490.0,89.0,75.0
optimized_003,630902,13.92156862745098,0.20585677007828357,0.0,-385.0,87.0,87.0
optimized_003,630903,13.980392156862745,0.2128993729471484,-1.0,-455.0,80.0,79.0
optimized_003,630904,14.176470588235293,0.20487390195522812,-10.0,-457.0,84.0,74.0
optimized_003,630905,12.490196078431373,0.19844236760124612,12.0,-308.0,77.0,89.0
optimized_004,630901,15.431372549019608,0.18535091851154029,-19.0,-595.0,89.0,70.0
optimized_004,630902,14.509803921568627,0.18199704869650762,-24.0,-583.0,87.0,63.0
optimized_004,630903,14.431372549019608,0.1787709497206704,-13.0,-643.0,80.0,67.0
optimized_004,630904,15.392156862745098,0.19193154034229828,-26.0,-658.0,84.0,58.0
optimized_004,630905,13.019607843137255,0.18531956461066146,-5.0,-508.0,77.0,72.0
