condition,seed,A_single_seed,F_single_seed,MN9_delta_hz,motor_total_delta_hz,baseline_MN9_hz,lesion_MN9_hz
mode,631001,23.294117647058822,0.22846153846153847,-87.0,-1.0,88.0,1.0
mode,631002,22.03921568627451,0.2273462783171521,-76.0,72.0,77.0,1.0
mode,631003,21.627450980392158,0.2295525494276795,-82.0,-1.0,83.0,1.0
mode,631004,23.215686274509803,0.23818145242405955,-83.0,-62.0,84.0,1.0
mode,631005,22.392156862745097,0.22405336472434764,-81.0,35.0,81.0,0.0
mode,631006,22.92156862745098,0.23139350752177357,-83.0,-2.0,85.0,2.0
mode,631007,21.568627450980394,0.229453483521068,-83.0,-19.0,84.0,1.0
mode,631008,23.627450980392158,0.225444340505145,-82.0,45.0,83.0,1.0
mode,631009,23.176470588235293,0.22587425950697496,-88.0,36.0,89.0,1.0
mode,631010,21.686274509803923,0.23172009218520848,-80.0,46.0,81.0,1.0
mode,631011,23.50980392156863,0.22183163737280295,-85.0,29.0,86.0,1.0
mode,631012,22.54901960784314,0.22531347962382445,-84.0,107.0,85.0,1.0
mode,631013,23.941176470588236,0.22869451208091404,-82.0,69.0,83.0,1.0
mode,631014,23.50980392156863,0.22356889800484803,-86.0,-16.0,88.0,2.0
mode,631015,23.274509803921568,0.22915057915057915,-91.0,0.0,92.0,1.0
mode,631016,22.49019607843137,0.22560975609756098,-82.0,59.0,84.0,2.0
mode,631017,22.980392156862745,0.23102700571653853,-79.0,77.0,80.0,1.0
mode,631018,21.254901960784313,0.2213148223764802,-79.0,96.0,80.0,1.0
mode,631019,21.823529411764707,0.22732843137254902,-78.0,67.0,80.0,2.0
mode,631020,23.176470588235293,0.234198533782445,-88.0,8.0,89.0,1.0
mode,631021,22.686274509803923,0.23144628925785157,-83.0,77.0,84.0,1.0
mode,631022,22.823529411764707,0.2219256434699714,-90.0,86.0,91.0,1.0
mode,631023,23.313725490196077,0.22249251497005987,-87.0,22.0,88.0,1.0
mode,631024,22.45098039215686,0.22904580916183237,-82.0,0.0,83.0,1.0
mode,631025,22.784313725490197,0.22779847088806116,-77.0,40.0,78.0,1.0
mode,631026,23.0,0.2251007484168106,-82.0,162.0,84.0,2.0
mode,631027,21.49019607843137,0.231467793030623,-83.0,23.0,84.0,1.0
mode,631028,20.980392156862745,0.22882805816937554,-79.0,-29.0,80.0,1.0
mode,631029,21.941176470588236,0.21560693641618497,-76.0,134.0,77.0,1.0
mode,631030,20.784313725490197,0.2306855277475517,-81.0,18.0,83.0,2.0
optimized_000,631001,12.27450980392157,0.18202965978482116,0.0,-320.0,88.0,88.0
optimized_000,631002,10.92156862745098,0.1796194775878749,-4.0,-394.0,77.0,73.0
optimized_000,631003,12.196078431372548,0.1844055736732879,-1.0,-436.0,83.0,82.0
optimized_000,631004,12.352941176470589,0.18672199170124482,12.0,-370.0,84.0,96.0
optimized_000,631005,11.254901960784315,0.1794871794871795,-8.0,-436.0,81.0,73.0
optimized_000,631006,12.254901960784315,0.18979653811114486,1.0,-386.0,85.0,86.0
optimized_000,631007,12.215686274509803,0.18793363499245852,8.0,-390.0,84.0,92.0
optimized_000,631008,11.392156862745098,0.18699710331509495,5.0,-304.0,83.0,88.0
optimized_000,631009,10.882352941176471,0.17862890247827487,-9.0,-385.0,89.0,80.0
optimized_000,631010,11.588235294117647,0.1708092485549133,2.0,-323.0,81.0,83.0
optimized_000,631011,10.901960784313726,0.17445873862566677,1.0,-325.0,86.0,87.0
optimized_000,631012,10.823529411764707,0.18003913894324852,-7.0,-352.0,85.0,78.0
optimized_000,631013,10.705882352941176,0.1760154738878143,7.0,-326.0,83.0,90.0
optimized_000,631014,11.882352941176471,0.18744200433034333,-8.0,-429.0,88.0,80.0
optimized_000,631015,10.764705882352942,0.17865278229742923,-5.0,-392.0,92.0,87.0
optimized_000,631016,11.333333333333334,0.18216199180586196,4.0,-322.0,84.0,88.0
optimized_000,631017,10.941176470588236,0.18271119842829076,-4.0,-398.0,80.0,76.0
optimized_000,631018,10.549019607843137,0.17030705919594807,6.0,-281.0,80.0,86.0
optimized_000,631019,11.549019607843137,0.17277794074508654,4.0,-333.0,80.0,84.0
optimized_000,631020,11.882352941176471,0.1812200956937799,-8.0,-408.0,89.0,81.0
optimized_000,631021,11.72549019607843,0.18082854550952526,-2.0,-371.0,84.0,82.0
optimized_000,631022,11.117647058823529,0.17909033480732786,1.0,-314.0,91.0,92.0
optimized_000,631023,11.137254901960784,0.17574257425742573,3.0,-345.0,88.0,91.0
optimized_000,631024,12.745098039215685,0.18635321100917432,1.0,-383.0,83.0,84.0
optimized_000,631025,11.352941176470589,0.17641681901279707,11.0,-335.0,78.0,89.0
optimized_000,631026,10.215686274509803,0.16937581274382316,0.0,-211.0,84.0,84.0
optimized_000,631027,12.117647058823529,0.18251624335499114,0.0,-304.0,84.0,84.0
optimized_000,631028,12.588235294117647,0.18186968838526912,5.0,-364.0,80.0,85.0
optimized_000,631029,10.411764705882353,0.16536904391155402,-1.0,-263.0,77.0,76.0
optimized_000,631030,11.647058823529411,0.18809373020899303,-3.0,-414.0,83.0,80.0
optimized_001,631001,13.784313725490197,0.2199624530663329,-6.0,-442.0,88.0,82.0
optimized_001,631002,11.862745098039216,0.20113031914893617,6.0,-385.0,77.0,83.0
optimized_001,631003,14.607843137254902,0.22379092820666868,-1.0,-497.0,83.0,82.0
optimized_001,631004,13.941176470588236,0.21558520315342633,-4.0,-537.0,84.0,80.0
optimized_001,631005,12.666666666666666,0.20645573665707895,7.0,-374.0,81.0,88.0
optimized_001,631006,13.843137254901961,0.21348654369519202,-4.0,-488.0,85.0,81.0
optimized_001,631007,13.215686274509803,0.2062423500611995,6.0,-431.0,84.0,90.0
optimized_001,631008,13.27450980392157,0.20728720146968768,-8.0,-459.0,83.0,75.0
optimized_001,631009,12.862745098039216,0.20116528672186446,-1.0,-403.0,89.0,88.0
optimized_001,631010,12.588235294117647,0.20432845321451304,5.0,-423.0,81.0,86.0
optimized_001,631011,12.470588235294118,0.20757180156657964,-5.0,-374.0,86.0,81.0
optimized_001,631012,12.215686274509803,0.21140142517814728,-9.0,-373.0,85.0,76.0
optimized_001,631013,11.098039215686274,0.18698381235546746,-4.0,-377.0,83.0,79.0
optimized_001,631014,13.137254901960784,0.20944045014066895,-16.0,-526.0,88.0,72.0
optimized_001,631015,12.470588235294118,0.20371556694426649,-9.0,-405.0,92.0,83.0
optimized_001,631016,11.980392156862745,0.2024519549370444,-6.0,-401.0,84.0,78.0
optimized_001,631017,12.901960784313726,0.20849176172370087,-4.0,-445.0,80.0,76.0
optimized_001,631018,11.843137254901961,0.20220957482423838,10.0,-352.0,80.0,90.0
optimized_001,631019,12.92156862745098,0.2018376722817764,9.0,-360.0,80.0,89.0
optimized_001,631020,13.843137254901961,0.208628841607565,-15.0,-551.0,89.0,74.0
optimized_001,631021,13.470588235294118,0.20780399274047187,6.0,-363.0,84.0,90.0
optimized_001,631022,12.313725490196079,0.20489396411092986,-11.0,-354.0,91.0,80.0
optimized_001,631023,11.784313725490197,0.19238156209987195,-4.0,-388.0,88.0,84.0
optimized_001,631024,13.215686274509803,0.20853960396039603,6.0,-404.0,83.0,89.0
optimized_001,631025,13.254901960784315,0.2131819615263324,1.0,-425.0,78.0,79.0
optimized_001,631026,10.92156862745098,0.20425375870920426,-6.0,-355.0,84.0,78.0
optimized_001,631027,12.607843137254902,0.21026814911706998,8.0,-376.0,84.0,92.0
optimized_001,631028,14.019607843137255,0.221980751319466,-1.0,-492.0,80.0,79.0
optimized_001,631029,11.647058823529411,0.19539473684210526,4.0,-339.0,77.0,81.0
optimized_001,631030,13.0,0.2135265700483092,-5.0,-442.0,83.0,78.0
optimized_002,631001,17.137254901960784,0.19755877034358046,-18.0,-633.0,88.0,70.0
optimized_002,631002,15.019607843137255,0.19309301739349635,-7.0,-513.0,77.0,70.0
optimized_002,631003,17.980392156862745,0.20017463435931018,-29.0,-717.0,83.0,54.0
optimized_002,631004,17.274509803921568,0.2038408144377603,-27.0,-685.0,84.0,57.0
optimized_002,631005,15.666666666666666,0.19975,-2.0,-615.0,81.0,79.0
optimized_002,631006,16.666666666666668,0.2026221692491061,-19.0,-648.0,85.0,66.0
optimized_002,631007,16.80392156862745,0.19306150033791394,-26.0,-692.0,84.0,58.0
optimized_002,631008,15.823529411764707,0.19269340974212035,-16.0,-603.0,83.0,67.0
optimized_002,631009,16.019607843137255,0.1999021287007585,-26.0,-606.0,89.0,63.0
optimized_002,631010,15.372549019607844,0.2,-13.0,-623.0,81.0,68.0
optimized_002,631011,15.549019607843137,0.18840579710144928,-13.0,-586.0,86.0,73.0
optimized_002,631012,15.588235294117647,0.19697720515361744,-24.0,-596.0,85.0,61.0
optimized_002,631013,14.568627450980392,0.17977256230341157,-17.0,-563.0,83.0,66.0
optimized_002,631014,17.254901960784313,0.17951856385148918,-34.0,-763.0,88.0,54.0
optimized_002,631015,15.764705882352942,0.1900709219858156,-9.0,-548.0,92.0,83.0
optimized_002,631016,15.588235294117647,0.19697720515361744,-13.0,-604.0,84.0,71.0
optimized_002,631017,15.823529411764707,0.19273943157391926,-17.0,-567.0,80.0,63.0
optimized_002,631018,14.529411764705882,0.18391660461653014,-5.0,-480.0,80.0,75.0
optimized_002,631019,15.607843137254902,0.1957697983275947,-12.0,-576.0,80.0,68.0
optimized_002,631020,16.235294117647058,0.20185275475377865,-14.0,-596.0,89.0,75.0
optimized_002,631021,16.470588235294116,0.18547140649149924,-20.0,-656.0,84.0,64.0
optimized_002,631022,15.529411764705882,0.1934065934065934,-21.0,-597.0,91.0,70.0
optimized_002,631023,15.823529411764707,0.19539951573849879,-6.0,-525.0,88.0,82.0
optimized_002,631024,16.745098039215687,0.1964573268921095,-17.0,-655.0,83.0,66.0
optimized_002,631025,16.352941176470587,0.19711652091704088,-5.0,-636.0,78.0,73.0
optimized_002,631026,13.0,0.180999180999181,-18.0,-493.0,84.0,66.0
optimized_002,631027,15.137254901960784,0.1926628400299476,-20.0,-627.0,84.0,64.0
optimized_002,631028,17.372549019607842,0.19825464309688967,-19.0,-693.0,80.0,61.0
optimized_002,631029,13.901960784313726,0.19424657534246575,-7.0,-527.0,77.0,70.0
optimized_002,631030,16.03921568627451,0.1983992238661169,-17.0,-611.0,83.0,66.0
optimized_003,631001,14.980392156862745,0.21960333429146306,-14.0,-427.0,88.0,74.0
