root_id,super_class,cell_class,cell_type,hemibrain_type,ito_lee_hemilineage,hartenstein_hemilineage,top_nt,side,nerve,flow,status,synonyms
720575940628372613,motor,brain_motor_neuron,CB0004,,MX12__prim,MX12__prim,acetylcholine,left,ON,efferent,,
720575940625799513,motor,brain_motor_neuron,CEM,,putative_primary,putative_primary,glutamate,left,PhN,efferent,,
720575940648804217,motor,brain_motor_neuron,MNx03,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,,
720575940640681680,motor,brain_motor_neuron,CEM,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,,
720575940618165019,motor,brain_motor_neuron,CB0700,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,,
720575940660219265,motor,brain_motor_neuron,CB0701,,putative_primary,putative_primary,acetylcholine,right,PhN,efferent,,
720575940644726432,motor,brain_motor_neuron,CB0703,,putative_primary,putative_primary,acetylcholine,right,PhN,efferent,,
720575940624342569,motor,neck_motor_neuron,CB0705,,putative_primary,putative_primary,acetylcholine,right,CV,efferent,,
720575940631715896,motor,brain_motor_neuron,CB0706,,LB12__prim,putative_primary,acetylcholine,right,CV,efferent,,
720575940635360924,motor,brain_motor_neuron,CB0708,,putative_primary,putative_primary,acetylcholine,right,PhN,efferent,,
720575940624967612,motor,brain_motor_neuron,CB0715,,putative_primary,putative_primary,acetylcholine,right,PhN,efferent,,
720575940616340639,motor,brain_motor_neuron,CB0720,,putative_primary,putative_primary,glutamate,left,MxLbN,efferent,,
720575940639021757,motor,brain_motor_neuron,CB0723,,putative_primary,putative_primary,glutamate,left,AN,efferent,,
720575940618238523,motor,brain_motor_neuron,CB0701,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,,
720575940636165624,motor,brain_motor_neuron,CB0708,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,,
720575940626939737,motor,brain_motor_neuron,CB0728,,putative_primary,putative_primary,acetylcholine,right,PhN,efferent,,
720575940621169690,motor,brain_motor_neuron,CEM,,putative_primary,putative_primary,octopamine,right,PhN,efferent,,
720575940608078347,motor,brain_motor_neuron,CB0918,,MX12__prim,MX12__prim,acetylcholine,left,ON,efferent,outlier_seg,
720575940623473335,motor,brain_motor_neuron,CB0750,,putative_primary,putative_primary,acetylcholine,left,AN,efferent,,
720575940621586854,motor,brain_motor_neuron,CB0762,,putative_primary,putative_primary,acetylcholine,left,MxLbN,efferent,,
720575940624554170,motor,brain_motor_neuron,CB0764,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,,
720575940620025620,motor,brain_motor_neuron,MN10,,putative_primary,putative_primary,acetylcholine,right,PhN,efferent,,
720575940622137633,motor,brain_motor_neuron,CB0769,,putative_primary,putative_primary,serotonin,left,PhN,efferent,,
720575940614734754,motor,brain_motor_neuron,CB0783,,putative_primary,putative_primary,gaba,right,MxLbN,efferent,,
720575940645697828,motor,brain_motor_neuron,CB0789,,putative_primary,putative_primary,acetylcholine,right,MxLbN,efferent,,
720575940622235930,motor,brain_motor_neuron,CB0723,,putative_primary,putative_primary,acetylcholine,right,AN,efferent,,
720575940630139386,motor,brain_motor_neuron,CB0804,,putative_primary,putative_primary,glutamate,right,AN,efferent,,
720575940611008718,motor,brain_motor_neuron,CB0810,,putative_primary,putative_primary,acetylcholine,right,AN,efferent,,
720575940635261838,motor,,CB2748,,MX0__prim,MX0__prim,octopamine,right,ON,intrinsic,,
720575940621126384,motor,brain_motor_neuron,CEM,,putative_primary,putative_primary,acetylcholine,right,PhN,efferent,,
720575940618519710,motor,brain_motor_neuron,CB0804,,putative_primary,putative_primary,acetylcholine,left,AN,efferent,,
720575940640640061,motor,brain_motor_neuron,CB0831,,putative_primary,putative_primary,acetylcholine,left,CV,efferent,outlier_seg,
720575940616570966,motor,brain_motor_neuron,CB0835,,putative_primary,putative_primary,acetylcholine,right,CV,efferent,,
720575940623137818,motor,brain_motor_neuron,CB0836,,putative_primary,putative_primary,serotonin,right,MxLbN,efferent,,
720575940624943084,motor,brain_motor_neuron,CB0838,,putative_primary,putative_primary,acetylcholine,left,CV,efferent,,
720575940607193986,motor,brain_motor_neuron,CB0845,,putative_primary,putative_primary,acetylcholine,right,MxLbN,efferent,,
720575940625612474,motor,brain_motor_neuron,CB0845,,putative_primary,putative_primary,acetylcholine,left,MxLbN,efferent,,
720575940629561347,motor,brain_motor_neuron,CB0845,,putative_primary,putative_primary,acetylcholine,right,MxLbN,efferent,,
720575940627410451,motor,brain_motor_neuron,CB0858,,putative_primary,putative_primary,acetylcholine,left,MxLbN,efferent,,
720575940614386070,motor,brain_motor_neuron,CB0845,,putative_primary,putative_primary,acetylcholine,left,MxLbN,efferent,,
