source_id,intermediate_id,motor_id,source_to_intermediate_weight,intermediate_to_motor_weight,intermediate_activity,delta_hz,motif_type,intermediate_nt
720575940617000768,720575940616864217,720575940627410451,1.0,-187.0,4.0,748.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940616864217,720575940627410451,3.0,-187.0,4.0,748.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630797113,720575940630159616,720575940630868793,1.0,-108.0,6.0,648.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940630159616,720575940630868793,2.0,-108.0,6.0,648.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940630159616,720575940630868793,2.0,-108.0,6.0,648.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940630159616,720575940630868793,1.0,-108.0,6.0,648.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940630664556,720575940622810153,4.0,-27.0,24.0,648.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940630664556,720575940622810153,5.0,-27.0,24.0,648.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940630664556,720575940622810153,8.0,-27.0,24.0,648.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940630664556,720575940622810153,2.0,-27.0,24.0,648.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940630664556,720575940622810153,5.0,-27.0,24.0,648.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630797113,720575940630159616,720575940618165019,1.0,-100.0,6.0,600.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940630159616,720575940618165019,2.0,-100.0,6.0,600.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940630159616,720575940618165019,2.0,-100.0,6.0,600.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940630159616,720575940618165019,1.0,-100.0,6.0,600.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940619973712,720575940630233404,15.0,-11.0,54.0,594.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940619973712,720575940630233404,6.0,-11.0,54.0,594.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940619973712,720575940630233404,1.0,-11.0,54.0,594.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940619973712,720575940630233404,9.0,-11.0,54.0,594.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940619973712,720575940630233404,4.0,-11.0,54.0,594.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630797113,720575940619973712,720575940630233404,1.0,-11.0,54.0,594.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940619973712,720575940630233404,5.0,-11.0,54.0,594.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940619973712,720575940630233404,5.0,-11.0,54.0,594.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940619973712,720575940630233404,2.0,-11.0,54.0,594.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940619973712,720575940630233404,6.0,-11.0,54.0,594.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940633277209,720575940630233404,5.0,-10.0,32.0,320.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940633277209,720575940630233404,2.0,-10.0,32.0,320.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940633277209,720575940630233404,2.0,-10.0,32.0,320.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940633277209,720575940630233404,6.0,-10.0,32.0,320.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940633277209,720575940630233404,6.0,-10.0,32.0,320.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940633277209,720575940630233404,2.0,-10.0,32.0,320.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940633277209,720575940630233404,2.0,-10.0,32.0,320.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940633277209,720575940630233404,6.0,-10.0,32.0,320.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940633277209,720575940630233404,1.0,-10.0,32.0,320.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940616864217,720575940626939737,1.0,-77.0,4.0,308.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940616864217,720575940626939737,3.0,-77.0,4.0,308.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630797113,720575940630159616,720575940636165624,1.0,-44.0,6.0,264.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940630159616,720575940636165624,2.0,-44.0,6.0,264.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940630159616,720575940636165624,2.0,-44.0,6.0,264.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940630159616,720575940636165624,1.0,-44.0,6.0,264.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940633065901,720575940630868793,2.0,-104.0,2.0,208.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940621771041,720575940621586854,1.0,-91.0,2.0,182.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940621771041,720575940621586854,1.0,-91.0,2.0,182.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940616864217,720575940614734754,1.0,-44.0,4.0,176.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940616864217,720575940614734754,3.0,-44.0,4.0,176.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940633065901,720575940618165019,2.0,-86.0,2.0,172.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940630664556,720575940620025620,4.0,-7.0,24.0,168.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940630664556,720575940620025620,5.0,-7.0,24.0,168.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940630664556,720575940620025620,8.0,-7.0,24.0,168.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940630664556,720575940620025620,2.0,-7.0,24.0,168.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940630664556,720575940620025620,5.0,-7.0,24.0,168.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940644666148,720575940618165019,1.0,-140.0,1.0,140.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940621771041,720575940633185567,1.0,-66.0,2.0,132.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940621771041,720575940633185567,1.0,-66.0,2.0,132.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940616864217,720575940623415849,1.0,-27.0,4.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940616864217,720575940623415849,3.0,-27.0,4.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940619973712,720575940610679876,15.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940619973712,720575940610679876,6.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940619973712,720575940610679876,1.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940619973712,720575940610679876,9.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940619973712,720575940610679876,4.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630797113,720575940619973712,720575940610679876,1.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940619973712,720575940610679876,5.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940619973712,720575940610679876,5.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940619973712,720575940610679876,2.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940619973712,720575940610679876,6.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940644666148,720575940630868793,1.0,-108.0,1.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940632648612,720575940613935535,5.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940632648612,720575940613935535,6.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940632648612,720575940613935535,8.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940632648612,720575940613935535,14.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940632648612,720575940613935535,20.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630797113,720575940632648612,720575940613935535,9.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940632648612,720575940613935535,9.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940632648612,720575940613935535,6.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
