group,perm_index,delta_hz,n_silenced,n_trials_per_sim,seed
Kenyon_Cell,1,-13.6,5095,5,42
Kenyon_Cell,2,-8.2,5095,5,42
Kenyon_Cell,3,11.8,5095,5,42
Kenyon_Cell,4,-8.4,5095,5,42
Kenyon_Cell,5,1.4,5095,5,42
Kenyon_Cell,6,-0.2,5095,5,42
Kenyon_Cell,7,43.8,5095,5,42
Kenyon_Cell,8,4.6,5095,5,42
Kenyon_Cell,9,19.8,5095,5,42
Kenyon_Cell,10,18.4,5095,5,42
Kenyon_Cell,11,-15.0,5095,5,42
Kenyon_Cell,12,21.4,5095,5,42
Kenyon_Cell,13,-6.6,5095,5,42
Kenyon_Cell,14,36.6,5095,5,42
Kenyon_Cell,15,-11.2,5095,5,42
Kenyon_Cell,16,9.8,5095,5,42
Kenyon_Cell,17,14.0,5095,5,42
Kenyon_Cell,18,-3.8,5095,5,42
Kenyon_Cell,19,-19.8,5095,5,42
Kenyon_Cell,20,-32.6,5095,5,42
