group,perm_index,delta_hz,n_silenced,n_trials_per_sim,seed
descending,1,108.8,1086,5,42
descending,2,3.2,1086,5,42
descending,3,-305.6,1086,5,42
descending,4,-157.8,1086,5,42
descending,5,43.6,1086,5,42
descending,6,-154.0,1086,5,42
descending,7,115.4,1086,5,42
descending,8,250.4,1086,5,42
descending,9,10.2,1086,5,42
descending,10,-72.2,1086,5,42
descending,11,-296.0,1086,5,42
descending,12,-126.2,1086,5,42
descending,13,-167.0,1086,5,42
descending,14,-13.8,1086,5,42
descending,15,-100.2,1086,5,42
descending,16,-72.8,1086,5,42
descending,17,-6.4,1086,5,42
descending,18,739.4,1086,5,42
descending,19,-250.2,1086,5,42
descending,20,374.2,1086,5,42
