comparison,predicted_metric,actual_metric,n_pairs,paired_keys,spearman_rs,pearson_r,claim_status,motor_delta_hz_sum,motor_drop_hz_sum
path_attenuation_vs_motor_drop,path_attenuation_ratio,motor_drop_hz_sum,2,gate_feeding_biased;gate_grooming_biased,1.0,1.0,not_interpretable_as_neuroscience,,
modal_controllability_vs_motor_drop,modal_controllability,motor_drop_hz_sum,6,0;1;2;3;4;5,1.0,0.9999999333778365,not_interpretable_as_neuroscience,,
modal_controllability_vs_per_motor_drop,modal_controllability,per_motor_drop_hz,2,3;4,1.0,1.0,not_interpretable_as_neuroscience,,
ground_truth_condition,,motor_delta_hz_sum,2,perturb_0,,,not_interpretable_as_neuroscience,0.0,0.0
ground_truth_condition,,motor_delta_hz_sum,2,perturb_1,,,not_interpretable_as_neuroscience,-210.0,210.0
ground_truth_condition,,motor_delta_hz_sum,2,perturb_2,,,not_interpretable_as_neuroscience,-178.0,178.0
ground_truth_condition,,motor_delta_hz_sum,2,perturb_3,,,not_interpretable_as_neuroscience,-1538.0,1538.0
ground_truth_condition,,motor_delta_hz_sum,2,perturb_4,,,not_interpretable_as_neuroscience,-1920.0,1920.0
ground_truth_condition,,motor_delta_hz_sum,2,perturb_5,,,not_interpretable_as_neuroscience,-2000.0,2000.0
ground_truth_condition,,motor_delta_hz_sum,2,perturb_gate_feeding_biased,,,not_interpretable_as_neuroscience,-1560.0,1560.0
ground_truth_condition,,motor_delta_hz_sum,2,perturb_gate_grooming_biased,,,not_interpretable_as_neuroscience,-402.0,402.0
ground_truth_condition,,motor_delta_hz_sum,2,perturb_motor_panel,,,not_interpretable_as_neuroscience,-1729.0,1729.0
